,,MIRALOS MORIR TOP 5 2022,,,,,,,,,
El_Diegot3,Prey,Crimes of the future,Nope,The Batman,Everything Everywhere All at Once,MUCHAAACHOOOS,,Elvis,Morbius,Cha Cha Real Smooth,Olaf
@estrasnoy,The Unbearable Weight of Massive Talent,Guillermo del Toro's Pinocchio ,Aftersun,The Banshees of Inisherin,Huesera,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS","Don't Worry, Darling ",Men,Elvis,Fantastic Beasts: The Secrets of Dumbledore,Granizo
Juan Navarro,The Unbearable Weight of Massive Talent,"Argentina, 1985",El Método Tangalanga,The Banshees of Inisherin,Top Gun: Maverick,ES OTRO FÚTBOL PRESIDENTE,Death on the Nile,Fantastic Beasts: The Secrets of Dumbledore,Roald Dahl's Matilda the Musical,Uncharted,Olaf
Ivana,The Northman,Top Gun: Maverick,Licorice Pizza,Aftersun,Crimes of the future,MUCHAAACHOOOS,,,,,Marry Me 
Leandro,Madres Paralelas,Licorice Pizza,Top Gun: Maverick,The Northman,"Argentina, 1985","I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",,Men,Granizo,Thor: Love and Thunder,Olaf
Gabby,X ,RRR,The Fabelmans,Guillermo del Toro's Pinocchio ,Athena ,MUCHAAACHOOOS,,,,,
marpezzuchi ,Barbarian,Pearl,Nope,Top Gun: Maverick ,The Fabelmans,MUCHAAACHOOOS,Ecos de un crimen,"Bodies, Bodies, Bodies",Death on the Nile,Elvis,Blonde
Pblo79,Licorice Pizza,Crimes of the future,Prey,Guillermo del Toro's Pinocchio ,You Won't Be Alone,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",Deep Water,Ambulance,The Gray Man,Morbius,Uncharted
albaletti,X ,Top Gun: Maverick,The Fabelmans,Pearl ,Everything Everywhere All at Once,"ES OTRO FÚTBOL PRESIDENTE, MUCHAAACHOOOS",Speak No Evil ,Glass Onion ,Thor: Love and Thunder,"Don't Worry, Darling",Men 
Ivan Zamora,Barbarian,The Northman ,Nope ,The Unbearable Weight of Massive Talent ,The Batman ,ES OTRO FÚTBOL PRESIDENTE,Metal Lords ,Morbius ,Avatar 2 ,Speak No Evil ,Incantation
@basophium,Speak No Evil ,X ,Aftersun ,As Bestas ,Pearl,MUCHAAACHOOOS,,,Thor: Love and Thunder,Granizo ,Olaf 
YamiGB,The Northman ,Barbarian,Marcel The Shell With Shoes On ,"Argentina, 1985 ",Everything Everywhere All at Once,"I FUCKED YOU TWICE, ¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO, MUCHAAACHOOOS","Don't Worry, Darling ",Glass Onion ,Matrimillas,Choose Or Die,Morbius 
Marce,La Conferencia (Die Wannseekonferenz),Licorice Pizza ,Nope,The Fabelmans,Aftersun ,"¿QUÉ MIRÁ? ANDÁ PA'LLÁ, BOBO",,Matrimillas,Julia no te cases ,Blonde ,L'etat et moi 
Ale,"Argentina, 1985 ",Top Gun: Maverick ,RRR ,As Bestas ,Something in the Dirt ,MUCHAAACHOOOS,Glass Onion,Carter ,Uncharted,Texas Chainsaw Massacre ,Moonfall 
